date,exp,wash,garment,band,sample,Before transfer,After transfer,value
20230704,MP,W007,G2,10,B,0,13,13
20230704,MP,W007,G2,1,B,1,5,4
20230704,MP,W007,G2,2,B,1,14,13
20230704,MP,W007,G2,3,B,0,8,8
20230704,MP,W007,G2,4,B,0,8,8
20230704,MP,W007,G2,5,B,0,13,13
20230704,MP,W007,G2,6,B,1,18,17
20230704,MP,W007,G2,7,B,0,18,18
20230704,MP,W007,G2,8,B,0,9,9
20230704,MP,W007,G2,9,B,0,6,6
20230704,MP,W007,G3,10,B,0,6,6
20230704,MP,W007,G3,1,B,0,20,20
20230704,MP,W007,G3,2,B,0,9,9
20230704,MP,W007,G3,3,B,1,8,7
20230704,MP,W007,G3,4,B,0,9,9
20230704,MP,W007,G3,5,B,0,5,5
20230704,MP,W007,G3,6,B,1,9,8
20230704,MP,W007,G3,7,B,0,13,13
20230704,MP,W007,G3,8,B,1,9,8
20230704,MP,W007,G3,9,B,1,13,12
20230705,MP,W008,G1,10,B,0,22,22
20230705,MP,W008,G1,1,B,2,5,3
20230705,MP,W008,G1,2,B,0,3,3
20230705,MP,W008,G1,3,B,0,9,9
20230705,MP,W008,G1,4,B,0,9,9
20230705,MP,W008,G1,5,B,1,7,6
20230705,MP,W008,G1,6,B,0,14,14
20230705,MP,W008,G1,7,B,0,11,11
20230705,MP,W008,G1,8,B,0,10,10
20230705,MP,W008,G1,9,B,0,8,8
20230705,MP,W008,G2,10,B,0,11,11
20230705,MP,W008,G2,1,B,0,11,11
20230705,MP,W008,G2,2,B,0,13,13
20230705,MP,W008,G2,3,B,0,10,10
20230705,MP,W008,G2,4,B,1,10,9
20230705,MP,W008,G2,5,B,1,8,7
20230705,MP,W008,G2,6,B,0,7,7
20230705,MP,W008,G2,7,B,0,10,10
20230705,MP,W008,G2,8,B,0,3,3
20230705,MP,W008,G2,9,B,0,14,14
20230705,MP,W008,G3,10,B,2,8,6
20230705,MP,W008,G3,1,B,0,8,8
20230705,MP,W008,G3,2,B,0,9,9
20230705,MP,W008,G3,3,B,1,10,9
20230705,MP,W008,G3,4,B,3,8,5
20230705,MP,W008,G3,5,B,0,12,12
20230705,MP,W008,G3,6,B,0,7,7
20230705,MP,W008,G3,7,B,0,12,12
20230705,MP,W008,G3,8,B,0,11,11
20230705,MP,W008,G3,9,B,1,8,7
20230705,MP,W009,G1,10,B,0,9,9
20230705,MP,W009,G1,1,B,1,7,6
20230705,MP,W009,G1,2,B,1,18,17
20230705,MP,W009,G1,3,B,0,9,9
20230705,MP,W009,G1,4,B,1,9,8
20230705,MP,W009,G1,5,B,0,13,13
20230705,MP,W009,G1,6,B,0,6,6
20230705,MP,W009,G1,7,B,0,10,10
20230705,MP,W009,G1,8,B,0,6,6
20230705,MP,W009,G1,9,B,0,11,11
20230705,MP,W009,G2,10,B,1,10,9
20230705,MP,W009,G2,1,B,0,12,12
20230705,MP,W009,G2,2,B,0,6,6
20230705,MP,W009,G2,3,B,0,10,10
20230705,MP,W009,G2,4,B,1,10,9
20230705,MP,W009,G2,5,B,0,8,8
20230705,MP,W009,G2,6,B,0,16,16
20230705,MP,W009,G2,7,B,0,12,12
20230705,MP,W009,G2,8,B,0,15,15
20230705,MP,W009,G2,9,B,2,12,10
20230705,MP,W009,G3,10,B,0,13,13
20230705,MP,W009,G3,1,B,0,13,13
20230705,MP,W009,G3,2,B,0,6,6
20230705,MP,W009,G3,3,B,2,15,13
20230705,MP,W009,G3,4,B,0,15,15
20230705,MP,W009,G3,5,B,0,4,4
20230705,MP,W009,G3,6,B,1,12,11
20230705,MP,W009,G3,7,B,0,9,9
20230705,MP,W009,G3,8,B,1,13,12
20230705,MP,W009,G3,9,B,0,11,11
20230710,MP,W010,G1,10,B,0,11,11
20230710,MP,W010,G1,1,B,0,14,14
20230710,MP,W010,G1,2,B,0,9,9
20230710,MP,W010,G1,3,B,3,7,4
20230710,MP,W010,G1,4,B,1,10,9
20230710,MP,W010,G1,5,B,2,11,9
20230710,MP,W010,G1,6,B,1,21,20
20230710,MP,W010,G1,7,B,2,17,15
20230710,MP,W010,G1,8,B,2,19,17
20230710,MP,W010,G1,9,B,1,13,12
20230710,MP,W010,G2,10,B,0,11,11
20230710,MP,W010,G2,1,B,0,11,11
20230710,MP,W010,G2,2,B,0,10,10
20230710,MP,W010,G2,3,B,3,8,5
20230710,MP,W010,G2,4,B,4,10,6
20230710,MP,W010,G2,5,B,4,11,7
20230710,MP,W010,G2,6,B,2,4,2
20230710,MP,W010,G2,7,B,2,14,12
20230710,MP,W010,G2,8,B,0,10,10
20230710,MP,W010,G2,9,B,2,6,4
20230710,MP,W010,G3,10,B,0,6,6
20230710,MP,W010,G3,1,B,1,10,9
20230710,MP,W010,G3,2,B,2,12,10
20230710,MP,W010,G3,3,B,2,9,7
20230710,MP,W010,G3,4,B,0,9,9
20230710,MP,W010,G3,5,B,0,9,9
20230710,MP,W010,G3,6,B,0,9,9
20230710,MP,W010,G3,7,B,3,10,7
20230710,MP,W010,G3,8,B,0,11,11
20230710,MP,W010,G3,9,B,1,24,23
20230711,MP,W011,G1,10,B,0,10,10
20230711,MP,W011,G1,1,B,1,8,7
20230711,MP,W011,G1,2,B,2,10,8
20230711,MP,W011,G1,3,B,0,7,7
20230711,MP,W011,G1,4,B,0,9,9
20230711,MP,W011,G1,5,B,0,9,9
20230711,MP,W011,G1,6,B,0,7,7
20230711,MP,W011,G1,7,B,0,5,5
20230711,MP,W011,G1,8,B,2,6,4
20230711,MP,W011,G1,9,B,0,9,9
20230711,MP,W011,G2,10,B,0,10,10
20230711,MP,W011,G2,1,B,0,7,7
20230711,MP,W011,G2,2,B,0,8,8
20230711,MP,W011,G2,3,B,0,6,6
20230711,MP,W011,G2,4,B,0,1,1
20230711,MP,W011,G2,5,B,2,8,6
20230711,MP,W011,G2,6,B,0,7,7
20230711,MP,W011,G2,7,B,0,3,3
20230711,MP,W011,G2,8,B,0,7,7
20230711,MP,W011,G2,9,B,1,9,8
20230711,MP,W011,G3,10,B,2,6,4
20230711,MP,W011,G3,1,B,1,6,5
20230711,MP,W011,G3,2,B,0,10,10
20230711,MP,W011,G3,3,B,1,5,4
20230711,MP,W011,G3,4,B,0,7,7
20230711,MP,W011,G3,5,B,0,6,6
20230711,MP,W011,G3,6,B,1,8,7
20230711,MP,W011,G3,7,B,0,5,5
20230711,MP,W011,G3,8,B,0,3,3
20230711,MP,W011,G3,9,B,0,8,8
20230711,MP,W012,G1,10,B,0,10,10
20230711,MP,W012,G1,1,B,0,5,5
20230711,MP,W012,G1,2,B,1,7,6
20230711,MP,W012,G1,3,B,0,10,10
20230711,MP,W012,G1,4,B,0,10,10
20230711,MP,W012,G1,5,B,0,14,14
20230711,MP,W012,G1,6,B,1,7,6
20230711,MP,W012,G1,7,B,0,10,10
20230711,MP,W012,G1,8,B,1,18,17
20230711,MP,W012,G1,9,B,0,8,8
20230711,MP,W012,G2,10,B,0,10,10
20230711,MP,W012,G2,1,B,0,12,12
20230711,MP,W012,G2,2,B,0,13,13
20230711,MP,W012,G2,3,B,1,17,16
20230711,MP,W012,G2,4,B,0,5,5
20230711,MP,W012,G2,5,B,0,11,11
20230711,MP,W012,G2,6,B,0,14,14
20230711,MP,W012,G2,7,B,0,9,9
20230711,MP,W012,G2,8,B,3,5,2
20230711,MP,W012,G2,9,B,0,4,4
20230711,MP,W012,G3,10,B,0,23,23
20230711,MP,W012,G3,1,B,0,7,7
20230711,MP,W012,G3,2,B,0,15,15
20230711,MP,W012,G3,3,B,0,6,6
20230711,MP,W012,G3,4,B,2,9,7
20230711,MP,W012,G3,5,B,0,8,8
20230711,MP,W012,G3,6,B,1,7,6
20230711,MP,W012,G3,7,B,0,3,3
20230711,MP,W012,G3,8,B,0,5,5
20230711,MP,W012,G3,9,B,0,7,7
20230711,MP,W013,G1,10,B,0,9,9
20230711,MP,W013,G1,1,B,1,6,5
20230711,MP,W013,G1,2,B,0,3,3
20230711,MP,W013,G1,3,B,1,8,7
20230711,MP,W013,G1,4,B,2,4,2
20230711,MP,W013,G1,5,B,1,9,8
20230711,MP,W013,G1,6,B,0,11,11
20230711,MP,W013,G1,7,B,0,12,12
20230711,MP,W013,G1,8,B,0,14,14
20230711,MP,W013,G1,9,B,0,10,10
20230711,MP,W013,G2,10,B,1,16,15
20230711,MP,W013,G2,1,B,0,13,13
20230711,MP,W013,G2,2,B,0,11,11
20230711,MP,W013,G2,3,B,1,6,5
20230711,MP,W013,G2,4,B,0,8,8
20230711,MP,W013,G2,5,B,0,12,12
20230711,MP,W013,G2,6,B,1,7,6
20230711,MP,W013,G2,7,B,0,7,7
20230711,MP,W013,G2,8,B,1,6,5
20230711,MP,W013,G2,9,B,0,3,3
20230711,MP,W013,G3,1,B,0,13,13
20230711,MP,W013,G3,2,B,0,11,11
20230711,MP,W013,G3,3,B,1,3,2
20230711,MP,W013,G3,4,B,0,12,12
20230711,MP,W013,G3,5,B,0,8,8
20230711,MP,W013,G3,6,B,1,12,11
20230711,MP,W013,G3,7,B,0,5,5
20230711,MP,W013,G3,8,B,0,9,9
20230711,MP,W013,G3,10,B,0,16,16
20230711,MP,W013,G3,9,B,0,7,7
20230714,MP,W014,G1,10,B,1,21,20
20230714,MP,W014,G1,1,B,0,9,9
20230714,MP,W014,G1,2,B,0,14,14
20230714,MP,W014,G1,3,B,2,5,3
20230714,MP,W014,G1,4,B,1,9,8
20230714,MP,W014,G1,5,B,1,19,18
20230714,MP,W014,G1,6,B,0,3,3
20230714,MP,W014,G1,7,B,2,7,5
20230714,MP,W014,G1,8,B,4,17,13
20230714,MP,W014,G1,9,B,1,15,14
20230714,MP,W014,G2,10,B,0,13,13
20230714,MP,W014,G2,1,B,0,9,9
20230714,MP,W014,G2,2,B,1,5,4
20230714,MP,W014,G2,3,B,1,13,12
20230714,MP,W014,G2,4,B,1,5,4
20230714,MP,W014,G2,5,B,0,5,5
20230714,MP,W014,G2,6,B,0,11,11
20230714,MP,W014,G2,7,B,0,8,8
20230714,MP,W014,G2,8,B,1,5,4
20230714,MP,W014,G2,9,B,0,6,6
20230714,MP,W014,G3,10,B,0,4,4
20230714,MP,W014,G3,1,B,2,10,8
20230714,MP,W014,G3,2,B,0,5,5
20230714,MP,W014,G3,3,B,0,9,9
20230714,MP,W014,G3,4,B,1,9,8
20230714,MP,W014,G3,5,B,0,14,14
20230714,MP,W014,G3,6,B,1,9,8
20230714,MP,W014,G3,7,B,0,9,9
20230714,MP,W014,G3,8,B,0,3,3
20230714,MP,W014,G3,9,B,1,6,5
20230717,MP,W015,G1,10,B,0,4,4
20230717,MP,W015,G1,1,B,1,5,4
20230717,MP,W015,G1,2,B,0,9,9
20230717,MP,W015,G1,3,B,0,4,4
20230717,MP,W015,G1,4,B,0,7,7
20230717,MP,W015,G1,5,B,0,8,8
20230717,MP,W015,G1,6,B,0,6,6
20230717,MP,W015,G1,7,B,0,9,9
20230717,MP,W015,G1,8,B,0,16,16
20230717,MP,W015,G1,9,B,1,6,5
20230717,MP,W015,G2,1,B,0,9,9
20230717,MP,W015,G2,10,B,0,3,3
20230717,MP,W015,G2,2,B,0,5,5
20230717,MP,W015,G2,3,B,1,8,7
20230717,MP,W015,G2,4,B,0,7,7
20230717,MP,W015,G2,5,B,1,10,9
20230717,MP,W015,G2,6,B,1,3,2
20230717,MP,W015,G2,7,B,1,8,7
20230717,MP,W015,G2,8,B,1,9,8
