wash,garment,band,orientation,condition,Before transfer,After transfer,value
W010,G5,2,para,B,1,5,4
W010,G5,3,para,B,1,5,4
W010,G5,6,perp,B,0,2,2
W010,G5,7,perp,B,1,3,2
W010,G5,8,perp,B,0,2,2
W011,G1,10,perp,B,0,7,7
W011,G1,1,para,B,1,5,4
W011,G1,2,para,B,0,2,2
W011,G1,3,para,B,0,4,4
W011,G1,4,para,B,0,4,4
W011,G1,5,para,B,0,4,4
W011,G1,6,perp,B,0,3,3
W011,G1,7,perp,B,0,6,6
W011,G1,8,perp,B,0,6,6
W011,G1,9,perp,B,0,6,6
W011,G2,10,perp,B,1,8,7
W011,G2,1,para,B,0,6,6
W011,G2,2,para,B,0,1,1
W011,G2,3,para,B,NA,8,NA
W011,G2,4,para,B,0,5,5
W011,G2,5,para,B,0,6,6
W011,G2,6,perp,B,0,6,6
W011,G2,7,perp,B,0,3,3
W011,G2,8,perp,B,0,14,14
W011,G2,9,perp,B,0,7,7
W011,G3,10,perp,B,0,4,4
W011,G3,1,para,B,0,10,10
W011,G3,2,para,B,0,10,10
W011,G3,3,para,B,0,7,7
W011,G3,4,para,B,1,8,7
W011,G3,5,para,B,1,5,4
W011,G3,6,perp,B,0,6,6
W011,G3,7,perp,B,0,11,11
W011,G3,8,perp,B,0,13,13
W011,G3,9,perp,B,0,9,9
W011,G4,10,perp,B,0,4,4
W011,G4,1,para,B,0,4,4
W011,G4,2,para,B,0,7,7
W011,G4,3,para,B,0,4,4
W011,G4,4,para,B,1,1,0
W011,G4,5,para,B,0,4,4
W011,G4,6,perp,B,0,1,1
W011,G4,7,perp,B,1,10,9
W011,G4,8,perp,B,0,7,7
W011,G4,9,perp,B,0,4,4
W011,G5,10,perp,B,0,5,5
W011,G5,1,para,B,0,5,5
W011,G5,2,para,B,0,3,3
W011,G5,3,para,B,1,3,2
W011,G5,4,para,B,0,9,9
W011,G5,5,para,B,0,6,6
W011,G5,6,perp,B,0,6,6
W011,G5,7,perp,B,0,6,6
W011,G5,8,perp,B,0,12,12
W011,G5,9,perp,B,0,5,5
W012,G1,1,para,B,0,6,6
W012,G1,2,para,B,0,5,5
W012,G1,3,para,B,1,1,0
W012,G1,6,perp,B,2,11,9
W012,G1,7,perp,B,0,3,3
W012,G1,8,perp,B,0,3,3
W012,G2,1,para,B,0,8,8
W012,G2,2,para,B,0,7,7
W012,G2,3,para,B,0,5,5
W012,G2,6,perp,B,0,10,10
W012,G2,7,perp,B,0,5,5
W012,G2,8,perp,B,1,7,6
W012,G3,1,para,B,0,11,11
W012,G3,2,para,B,1,3,2
W012,G3,3,para,B,0,8,8
W012,G3,6,perp,B,1,4,3
W012,G3,7,perp,B,0,2,2
W012,G3,8,perp,B,0,5,5
W012,G4,1,para,B,0,3,3
W012,G4,2,para,B,0,3,3
W012,G4,3,para,B,0,8,8
W012,G4,6,perp,B,0,4,4
W012,G4,7,perp,B,0,3,3
W012,G4,8,perp,B,1,11,10
W012,G5,1,para,B,0,5,5
W012,G5,2,para,B,0,6,6
W012,G5,3,para,B,1,20,19
W012,G5,6,perp,B,0,9,9
W012,G5,7,perp,B,0,7,7
W012,G5,8,perp,B,0,10,10
W013,G1,1,para,B,0,4,4
W013,G1,2,para,B,0,2,2
W013,G1,3,para,B,1,7,6
W013,G1,6,perp,B,0,4,4
W013,G1,7,perp,B,0,4,4
W013,G1,8,perp,B,0,9,9
W013,G2,1,para,B,0,5,5
W013,G2,2,para,B,0,12,12
W013,G2,3,para,B,0,5,5
W013,G2,6,perp,B,0,6,6
W013,G2,7,perp,B,1,0,-1
W013,G2,8,perp,B,0,7,7
W013,G3,1,para,B,0,7,7
W013,G3,2,para,B,0,6,6
W013,G3,3,para,B,0,2,2
W013,G3,6,perp,B,0,4,4
W013,G3,7,perp,B,0,2,2
W013,G3,8,perp,B,0,4,4
W013,G4,1,para,B,0,7,7
W013,G4,2,para,B,0,4,4
W013,G4,3,para,B,0,5,5
W013,G4,6,perp,B,0,7,7
W013,G4,7,perp,B,1,5,4
W013,G4,8,perp,B,0,7,7
W013,G5,1,para,B,0,4,4
W013,G5,2,para,B,0,3,3
W013,G5,3,para,B,0,4,4
W013,G5,6,perp,B,0,4,4
W013,G5,7,perp,B,0,5,5
W013,G5,8,perp,B,0,1,1
W014,G1,1,para,B,0,9,9
W014,G1,2,para,B,1,2,1
W014,G1,3,para,B,0,3,3
W014,G1,6,perp,B,0,5,5
W014,G1,7,perp,B,0,1,1
W014,G1,8,perp,B,0,2,2
W014,G2,1,para,B,0,4,4
W014,G2,2,para,B,0,0,0
W014,G2,3,para,B,1,4,3
W014,G2,6,perp,B,0,2,2
W014,G2,7,perp,B,0,2,2
W014,G2,8,perp,B,0,7,7
W014,G3,1,para,B,0,4,4
W014,G3,2,para,B,1,2,1
W014,G3,3,para,B,1,7,6
W014,G3,6,perp,B,0,3,3
W014,G3,7,perp,B,0,4,4
W014,G3,8,perp,B,1,6,5
W014,G4,1,para,B,0,6,6
W014,G4,2,para,B,1,1,0
W014,G4,3,para,B,0,6,6
W014,G4,6,perp,B,0,10,10
W014,G4,7,perp,B,1,6,5
W014,G4,8,perp,B,0,13,13
W014,G5,1,para,B,0,15,15
W014,G5,2,para,B,0,5,5
W014,G5,3,para,B,0,5,5
W014,G5,6,perp,B,0,7,7
W014,G5,7,perp,B,0,11,11
W014,G5,8,perp,B,0,13,13
W015,G1,1,para,B,0,6,6
W015,G1,2,para,B,0,2,2
W015,G1,3,para,B,0,2,2
W015,G1,6,perp,B,0,2,2
W015,G1,7,perp,B,0,3,3
W015,G1,8,perp,B,0,5,5
W015,G2,1,para,B,0,4,4
W015,G2,2,para,B,0,7,7
W015,G2,3,para,B,0,5,5
W015,G2,6,perp,B,0,3,3
W015,G2,7,perp,B,0,3,3
W015,G2,8,perp,B,0,5,5
W015,G3,1,para,B,0,7,7
W015,G3,2,para,B,0,8,8
W015,G3,3,para,B,0,4,4
W015,G3,6,perp,B,0,5,5
W015,G3,7,perp,B,0,3,3
W015,G3,8,perp,B,0,1,1
W015,G4,1,para,B,0,6,6
W015,G4,2,para,B,0,6,6
W015,G4,3,para,B,0,3,3
W015,G4,6,perp,B,0,5,5
W015,G4,7,perp,B,0,1,1
W015,G4,8,perp,B,0,5,5
W015,G5,1,para,B,0,7,7
W015,G5,2,para,B,0,1,1
W015,G5,3,para,B,0,7,7
W015,G5,6,perp,B,0,3,3
W015,G5,7,perp,B,0,3,3
W015,G5,8,perp,B,0,7,7
W016,G1,1,para,B,0,3,3
W016,G1,2,para,B,0,3,3
W016,G1,3,para,B,0,0,0
W016,G1,4,para,B,1,1,0
W016,G1,6,perp,B,0,7,7
W016,G1,7,perp,B,0,4,4
W016,G1,8,perp,B,1,2,1
W016,G1,9,perp,B,0,8,8
W016,G2,1,para,B,0,4,4
W016,G2,2,para,B,0,3,3
W016,G2,3,para,B,1,2,1
W016,G2,4,para,B,0,4,4
W016,G2,6,perp,B,0,5,5
W016,G2,7,perp,B,0,3,3
W016,G2,8,perp,B,0,4,4
W016,G2,9,perp,B,0,3,3
W016,G3,1,para,B,0,2,2
W016,G3,2,para,B,0,0,0
W016,G3,3,para,B,0,1,1
W016,G3,4,para,B,0,2,2
W016,G3,6,perp,B,0,5,5
W016,G3,7,perp,B,0,5,5
W016,G3,8,perp,B,0,1,1
W016,G3,9,perp,B,0,1,1
W016,G4,1,para,B,0,5,5
W016,G4,2,para,B,0,2,2
W016,G4,3,para,B,0,4,4
W016,G4,4,para,B,0,10,10
W016,G4,6,perp,B,0,7,7
W016,G4,7,perp,B,0,1,1
W016,G4,8,perp,B,0,7,7
W016,G4,9,perp,B,0,6,6
W016,G5,1,para,B,0,2,2
W016,G5,2,para,B,3,3,0
W016,G5,3,para,B,0,2,2
W016,G5,4,para,B,0,4,4
W016,G5,6,perp,B,0,4,4
W016,G5,7,perp,B,0,1,1
W016,G5,8,perp,B,0,11,11
W016,G5,9,perp,B,0,4,4
W017,G1,1,para,B,1,8,7
W017,G1,2,para,B,0,8,8
W017,G1,3,para,B,0,6,6
W017,G1,6,perp,B,0,4,4
W017,G1,7,perp,B,0,3,3
W017,G1,8,perp,B,0,2,2
W017,G2,1,para,B,0,3,3
W017,G2,2,para,B,0,3,3
W017,G2,3,para,B,0,1,1
W017,G2,6,perp,B,0,4,4
W017,G2,7,perp,B,0,2,2
W017,G2,8,perp,B,0,8,8
W017,G3,1,para,B,1,9,8
W017,G3,2,para,B,0,7,7
W017,G3,3,para,B,0,3,3
W017,G3,6,perp,B,0,7,7
W017,G3,7,perp,B,0,3,3
W017,G3,8,perp,B,0,3,3
W017,G4,1,para,B,0,6,6
W017,G4,2,para,B,0,5,5
W017,G4,3,para,B,0,1,1
W017,G4,6,perp,B,0,5,5
W017,G4,7,perp,B,0,4,4
W017,G4,8,perp,B,0,3,3
W017,G5,1,para,B,0,6,6
W017,G5,2,para,B,0,5,5
W017,G5,3,para,B,0,7,7
W017,G5,6,perp,B,0,1,1
W017,G5,7,perp,B,0,9,9
W017,G5,8,perp,B,0,6,6
W018,G1,1,para,B,0,2,2
W018,G1,6,perp,B,0,7,7
W018,G2,1,para,B,1,0,-1
W018,G2,6,perp,B,0,2,2
W018,G3,1,para,B,0,1,1
W018,G3,6,perp,B,0,0,0
W018,G4,1,para,B,0,1,1
W018,G4,6,perp,B,0,3,3
W018,G5,1,para,B,0,0,0
W018,G5,6,perp,B,0,1,1
W019,G1,1,para,B,1,1,0
W019,G1,2,para,B,0,0,0
W019,G1,3,para,B,0,4,4
W019,G1,6,perp,B,0,3,3
W019,G1,7,perp,B,0,3,3
W019,G1,8,perp,B,0,7,7
W019,G2,1,para,B,0,1,1
W019,G2,2,para,B,0,0,0
W019,G2,3,para,B,0,0,0
W019,G2,6,perp,B,0,7,7
W019,G2,7,perp,B,1,8,7
W019,G2,8,perp,B,0,6,6
W019,G3,1,para,B,0,5,5
W019,G3,2,para,B,0,2,2
W019,G3,3,para,B,0,5,5
W019,G3,6,perp,B,0,2,2
W019,G3,7,perp,B,0,1,1
W019,G3,8,perp,B,1,0,-1
W019,G4,1,para,B,1,4,3
W019,G4,2,para,B,0,2,2
W019,G4,3,para,B,0,3,3
W019,G4,6,perp,B,1,4,3
W019,G4,7,perp,B,0,6,6
W019,G4,8,perp,B,0,1,1
W019,G5,1,para,B,0,3,3
W019,G5,2,para,B,0,1,1
W019,G5,3,para,B,2,0,-2
W019,G5,6,perp,B,0,3,3
W019,G5,7,perp,B,0,1,1
W019,G5,8,perp,B,0,7,7
W020,G1,1,para,B,1,5,4
W020,G1,6,perp,B,0,2,2
W020,G2,1,para,B,0,3,3
W020,G2,6,perp,B,0,5,5
W020,G3,1,para,B,0,4,4
W020,G3,6,perp,B,0,8,8
W020,G4,1,para,B,0,3,3
W020,G4,6,perp,B,0,3,3
W020,G5,1,para,B,0,3,3
W020,G5,6,perp,B,0,4,4
W021,G1,10,perp,B,0,3,3
W021,G1,1,para,B,0,0,0
W021,G1,2,para,B,0,0,0
W021,G1,3,para,B,1,2,1
W021,G1,4,para,B,0,2,2
W021,G1,5,para,B,0,2,2
W021,G1,6,perp,B,0,2,2
W021,G1,7,perp,B,1,1,0
W021,G1,8,perp,B,1,2,1
W021,G1,9,perp,B,0,0,0
W021,G2,10,perp,B,0,1,1
W021,G2,1,para,B,2,4,2
W021,G2,2,para,B,0,2,2
W021,G2,3,para,B,1,1,0
W021,G2,4,para,B,0,1,1
W021,G2,5,para,B,0,3,3
W021,G2,6,perp,B,0,1,1
W021,G2,7,perp,B,1,1,0
W021,G2,8,perp,B,0,5,5
W021,G2,9,perp,B,0,1,1
W021,G3,10,perp,B,0,3,3
W021,G3,1,para,B,0,1,1
W021,G3,2,para,B,0,4,4
W021,G3,3,para,B,0,4,4
W021,G3,4,para,B,2,3,1
W021,G3,5,para,B,0,7,7
W021,G3,6,perp,B,0,2,2
W021,G3,7,perp,B,0,4,4
W021,G3,8,perp,B,0,6,6
W021,G3,9,perp,B,0,4,4
W021,G4,10,perp,B,0,0,0
W021,G4,1,para,B,0,7,7
W021,G4,2,para,B,1,1,0
W021,G4,3,para,B,1,0,-1
W021,G4,4,para,B,0,0,0
W021,G4,5,para,B,1,4,3
W021,G4,6,perp,B,0,1,1
W021,G4,7,perp,B,0,0,0
W021,G4,8,perp,B,1,6,5
W021,G4,9,perp,B,0,3,3
W021,G5,10,perp,B,1,2,1
W021,G5,1,para,B,0,3,3
W021,G5,2,para,B,0,2,2
W021,G5,3,para,B,0,5,5
W021,G5,4,para,B,2,2,0
W021,G5,5,para,B,0,3,3
W021,G5,6,perp,B,0,4,4
W021,G5,7,perp,B,1,5,4
W021,G5,8,perp,B,0,2,2
W021,G5,9,perp,B,0,2,2
W022,G1,1,para,B,0,4,4
W022,G1,6,perp,B,0,3,3
W022,G2,1,para,B,0,5,5
W022,G2,6,perp,B,0,6,6
W022,G3,1,para,B,0,3,3
W022,G3,6,perp,B,0,5,5
W022,G4,1,para,B,0,2,2
W022,G4,6,perp,B,0,0,0
W022,G5,1,para,B,0,6,6
W022,G5,6,perp,B,0,2,2
W023,G1,1,para,B,0,1,1
W023,G1,2,para,B,0,3,3
