Slice,Count,Total Area,Average Size,%Area,Circ.,Solidity,
G14_F2_R2_C2_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R2_C3_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R2_C4_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R2_C5_AW.TIF,2,0.025,0.012,0.02,0.409,0.613,
G14_F2_R2_C6_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R2_C7_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R2_C8_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R2_C9_AW.TIF,4,0.068,0.017,0.056,0.144,0.565,
G14_F2_R3_C1_AW.TIF,2,0.015,0.008,0.013,0.428,0.76,
G14_F2_R3_C2_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R3_C3_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R3_C4_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R3_C5_AW.TIF,1,0.014,0.014,0.012,0.105,0.231,
G14_F2_R3_C6_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R3_C7_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R3_C8_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R3_C9_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R4_C1_AW.TIF,1,0.01,0.01,0.008,0.151,0.368,
G14_F2_R4_C2_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R4_C3_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R4_C4_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R4_C5_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R4_C6_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R4_C7_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R4_C8_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R4_C9_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R5_C1_AW.TIF,1,0.032,0.032,0.026,0.077,0.245,
G14_F2_R5_C2_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R5_C3_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R5_C4_AW.TIF,1,0.026,0.026,0.021,0.111,0.422,
G14_F2_R5_C5_AW.TIF,1,0.015,0.015,0.013,0.209,0.704,
G14_F2_R5_C6_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R5_C7_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R5_C8_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R5_C9_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R6_C10_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R6_C3_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R6_C4_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R6_C5_AW.TIF,1,0.007,0.007,0.005,0.408,0.691,
G14_F2_R6_C6_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R6_C7_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R6_C8_AW.TIF,1,0.006,0.006,0.005,0.27,0.555,
G14_F2_R6_C9_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R7_C10_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R7_C1_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R7_C3_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R7_C4_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R7_C5_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R7_C6_AW.TIF,1,0.024,0.024,0.02,0.262,0.521,
G14_F2_R7_C7_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R7_C8_AW.TIF,1,0.006,0.006,0.005,0.615,0.827,
G14_F2_R7_C9_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R8_C10_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R8_C1_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R8_C3_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R8_C4_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R8_C5_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R8_C6_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R8_C7_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R8_C8_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R8_C9_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R9_C10_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R9_C1_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R9_C3_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R9_C4_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R9_C5_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R9_C6_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R9_C7_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R9_C8_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R9_C9_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R10_C10_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R10_C1_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R10_C2_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R10_C3_AW.TIF,0,0,NaN,0,NaN,NaN,
