Slice,Count,Total Area,Average Size,%Area,Mean,,
G1_F1_R5_C1_AW.TIF,4,0.084,0.021,0.069,1.409,0.235,0.454
G1_F1_R5_C1_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R5_C10_AW.TIF,7,0.122,0.017,0.101,0.993,0.308,0.62
G1_F1_R5_C10_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R5_C2_AW.TIF,5,0.403,0.081,0.332,2.821,0.187,0.401
G1_F1_R5_C2_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R5_C3_AW.TIF,8,0.268,0.033,0.22,1.622,0.311,0.564
G1_F1_R5_C3_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R5_C4_AW.TIF,3,0.083,0.028,0.069,1.783,0.21,0.43
G1_F1_R5_C4_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R5_C5_AW.TIF,5,0.078,0.016,0.064,0.909,0.382,0.631
G1_F1_R5_C5_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R5_C6_AW.TIF,8,0.117,0.015,0.096,0.946,0.29,0.541
G1_F1_R5_C6_B.TIF,1,0.032,0.032,0.026,1.245,0.256,0.444
G1_F1_R5_C7_AW.TIF,5,0.121,0.024,0.1,1.448,0.296,0.506
G1_F1_R5_C7_B.TIF,1,0.006,0.006,0.005,0.357,0.575,0.799
G1_F1_R5_C8_AW.TIF,6,0.202,0.034,0.166,2.295,0.09,0.253
G1_F1_R5_C8_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R5_C9_AW.TIF,7,0.129,0.018,0.106,0.811,0.351,0.634
G1_F1_R5_C9_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R6_C1_AW.TIF,5,0.093,0.019,0.118,1.097,0.223,0.527
G1_F1_R6_C1_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R6_C10_AW.TIF,14,0.699,0.05,0.575,2.166,0.183,0.456
G1_F1_R6_C10_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R6_C2_AW.TIF,5,0.152,0.03,0.125,1.857,0.153,0.361
G1_F1_R6_C2_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R6_C3_AW.TIF,4,0.758,0.189,0.624,5.572,0.136,0.329
